"","X.1","X","master_species","family_molecules","Age.at.maturity","Calcification.rate","Chlorophyll.a","Coloniality","Corallite.width.maximum","Gross.photosynthesis","Growth.form.typical","Growth.rate","Ocean.basin","Oocyte.size.at.maturity","Polyp.fecundity","Polyps.per.area","Propagule.size.on.release","Protein.biomass","Skeletal.density","Tissue.thickness","Total.biomass","Zooxanthellate","Colony.maximum.diameter","Genus","Species","Genus_molecules","Species_molecules"
"39",39,39,"Acropora desalwii","Acroporidae",0.539596477563643,NA,NA,"colonial",-0.0969100130080564,NA,"corymbose",1.53089221776038,"pacific",2.54949939049507,0.707078035569005,2.35514894699257,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",1.47712125471966,"Acropora","desalwii","Acropora","desalwii"
"40",40,40,"Acropora digitifera","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"digitate",1.57518784492766,"pacific",2.58755857723709,0.936178509361589,1.35421603479093,2.77102178493784,NA,0.181843587944773,0.278753600952829,0.25972768569696,"zooxanthellate",2,"Acropora","digitifera","Acropora","digitifera"
"41",41,41,"Acropora divaricata","Acroporidae",0.601123423843527,NA,NA,"colonial",0.0413926851582251,NA,"tables_or_plates",1.61804809671209,"pacific",2.79379038469082,1.23929947912689,1.89333080458707,2.77102178493784,NA,0.145537485080665,NA,-0.143075243189986,"zooxanthellate",NA,"Acropora","divaricata","Acropora","divaricata"
"42",42,42,"Acropora donei","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"branching_open",1.73351658781825,"pacific",2.56627755559724,0.977723605288848,1.54994112817357,2.77102178493784,NA,0.179149040683456,NA,0.541531883013391,"zooxanthellate",2.47712125471966,"Acropora","donei","Acropora","donei"
"43",43,43,"Acropora downingi","Acroporidae",0.601482563537136,NA,NA,"colonial",0,NA,"tables_or_plates",1.48303340020156,"pacific",2.50227990796519,1.14612803567824,1.95686007094054,2.77102178493784,NA,0.145537485080665,NA,-0.193643531402139,"zooxanthellate",NA,"Acropora","downingi","Acropora","downingi"
"44",44,44,"Acropora echinata","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",1.73351658781825,"pacific",2.55133957695099,0.844786802159205,1.77421763656691,2.77102178493784,NA,0.179149040683456,NA,0.363011340173359,"zooxanthellate",2.17609125905568,"Acropora","echinata","Acropora","echinata"
"45",45,45,"Acropora efflorescens","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",1.48303340020156,"pacific",2.55047070580163,0.779765578946187,2.02708841670703,2.77102178493784,NA,0.145537485080665,NA,-0.249544180555297,"zooxanthellate",2.30102999566398,"Acropora","efflorescens","Acropora","efflorescens"
"46",46,46,"Acropora elegans","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.0969100130080564,NA,"tables_or_plates",1.48303340020156,"pacific",2.54949939049507,0.707078035569005,2.10559702784905,2.77102178493784,NA,0.145537485080665,NA,-0.312035789592257,"zooxanthellate",NA,"Acropora","elegans","Acropora","elegans"
"47",47,47,"Acropora elegantula","Acroporidae",0.600895037705415,NA,NA,"colonial",0.0413926851582251,NA,"branching_closed",1.70390740347512,"pacific",2.55212556651222,0.903605653194978,1.59412588795933,2.77102178493784,NA,-0.0155513927916768,NA,0.58213952558353,"zooxanthellate",NA,"Acropora","elegantula","Acropora","elegantula"
"48",48,48,"Acropora elseyi","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"branching_open",2.13049458852347,"pacific",2.55561166917882,0.7481880270062,1.8444459823334,2.77102178493784,NA,0.179149040683456,NA,0.307110691020201,"zooxanthellate",1.69897000433602,"Acropora","elseyi","Acropora","elseyi"
"49",49,49,"Acropora eurystoma","Acroporidae",0.539395676095722,-0.490074083956534,NA,"colonial",0.301029995663981,NA,"corymbose",1.6063813651106,"pacific",2.54896922639487,1.32221929473392,1.74439280235036,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",NA,"Acropora","eurystoma","Acropora","eurystoma"
"50",50,50,"Acropora exquisita","Acroporidae",0.600895037705415,NA,NA,"colonial",-0.0969100130080564,NA,"branching_closed",1.70390740347512,"pacific",2.54949939049507,0.707078035569005,1.80639211122131,2.77102178493784,NA,-0.0155513927916768,NA,0.413178979181259,"zooxanthellate",NA,"Acropora","exquisita","Acropora","exquisita"
"51",51,51,"Acropora fastigata","Acroporidae",0.600895037705415,NA,NA,"colonial",0.230448921378274,NA,"branching_closed",1.70390740347512,"pacific",2.55571548167683,1.17225385886475,1.30396341261625,2.77102178493784,NA,-0.0155513927916768,NA,0.813104252924505,"zooxanthellate",NA,"Acropora","fastigata","Acropora","fastigata"
"52",52,52,"Acropora fenneri","Acroporidae",NA,NA,NA,"colonial",0.113943352306837,NA,"branching_open",1.73351658781825,"pacific",2.55350320284629,1.00669988028481,1.59933800384346,2.77102178493784,NA,0.179149040683456,NA,0.502212753594253,"zooxanthellate",2,"Acropora","fenneri","Acropora","fenneri"
"53",53,53,"Acropora filiformis","Acroporidae",NA,NA,NA,"colonial",0.278753600952829,NA,"branching_open",1.73351658781825,"pacific",2.55663272040534,1.24089462815444,1.34638813736369,2.77102178493784,NA,0.179149040683456,NA,0.703556834607345,"zooxanthellate",NA,"Acropora","filiformis","Acropora","filiformis"
"54",54,54,"Acropora florida","Acroporidae",NA,NA,NA,"colonial",0.146128035678238,NA,"branching_open",1.73351658781825,"pacific",2.56504787175881,0.985276743179294,1.54994112817357,2.77102178493784,NA,0.179149040683456,NA,0.541531883013391,"zooxanthellate",3.17609125905568,"Acropora","florida","Acropora","florida"
"55",55,55,"Acropora forskali","Acroporidae",NA,NA,NA,"colonial",0.301029995663981,NA,"branching_open",1.73351658781825,"pacific",2.55705571817989,1.27254930185151,1.31219844883322,2.77102178493784,NA,0.179149040683456,NA,0.730771284304802,"zooxanthellate",NA,"Acropora","forskali","Acropora","forskali"
"56",56,56,"Acropora gemmifera","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"digitate",1.38021124171161,"pacific",2.58891239474962,0.927862900071575,2.10037054511756,2.77102178493784,NA,0.167317334748176,0.278753600952829,0.25972768569696,"zooxanthellate",NA,"Acropora","gemmifera","Acropora","gemmifera"
"57",57,57,"Acropora glauca","Acroporidae",0.601482563537136,NA,NA,"colonial",0.113943352306837,NA,"tables_or_plates",1.48303340020156,"pacific",2.54700318444612,1.0466252120919,1.78198043821709,2.77102178493784,NA,0.164352855784437,NA,-0.054442117981245,"zooxanthellate",NA,"Acropora","glauca","Acropora","glauca"
"58",58,58,"Acropora globiceps","Acroporidae",NA,NA,NA,"colonial",0.322219294733919,NA,"digitate",1.48390826233877,"pacific",NA,NA,1.17295785778491,NA,NA,0.153064731507295,NA,0.404006319179868,"zooxanthellate",NA,"Acropora","globiceps","Acropora","globiceps"
"59",59,59,"Acropora gomezi","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",1.48527768016536,"pacific",2.55133957695099,0.844786802159205,1.77421763656691,2.77102178493784,NA,0.179149040683456,NA,0.363011340173359,"zooxanthellate",NA,"Acropora","gomezi","Acropora","gomezi"
"60",60,60,"Acropora grandis","Acroporidae",NA,NA,NA,"colonial",0.230448921378274,NA,"branching_open",1.73351658781825,"pacific",2.55571548167683,1.17225385886475,1.42052589487037,2.77102178493784,NA,0.179149040683456,NA,0.644544355726486,"zooxanthellate",2.84509804001426,"Acropora","grandis","Acropora","grandis"
"61",61,61,"Acropora granulosa","Acroporidae",0.602059991327962,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",0.854913022307856,"pacific",2.4940984661099,1.12602311790052,2.02708841670703,2.77102178493784,NA,0.145537485080665,NA,-0.249544180555297,"zooxanthellate",2,"Acropora","granulosa","Acropora","granulosa"
"62",62,62,"Acropora haimei","Acroporidae",0.600895037705415,NA,NA,"colonial",0.301029995663981,NA,"branching_closed",1.70390740347512,"pacific",2.55705571817989,1.27254930185151,1.1956359665791,2.77102178493784,NA,-0.0155513927916768,NA,0.899331181502821,"zooxanthellate",NA,"Acropora","haimei","Acropora","haimei"
"63",63,63,"Acropora halmaherae","Acroporidae",NA,NA,NA,"colonial",-0.0457574905606751,NA,"branching_open",1.73351658781825,"pacific",2.55047070580163,0.779765578946187,1.8444459823334,2.77102178493784,NA,0.179149040683456,NA,0.307110691020201,"zooxanthellate",NA,"Acropora","halmaherae","Acropora","halmaherae"
"64",64,64,"Acropora hemprichii","Acroporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_open",0.960998987866869,"pacific",2.475663965098,1.43136376415899,1.65269069403757,2.77102178493784,NA,0.179149040683456,NA,0.459744858567442,"zooxanthellate",2.30102999566398,"Acropora","hemprichii","Acropora","hemprichii"
"65",65,65,"Acropora hoeksemai","Acroporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"branching_open",1.73351658781825,"pacific",2.55212556651222,0.903605653194978,1.71068837021345,2.77102178493784,NA,0.179149040683456,NA,0.413579628385512,"zooxanthellate",2.60205999132796,"Acropora","hoeksemai","Acropora","hoeksemai"
"66",66,66,"Acropora horrida","Acroporidae",0.600895037705415,NA,NA,"colonial",0.176091259055681,NA,"branching_closed",1.70390740347512,"pacific",2.57760116441788,0.954242509439325,1.38739125487493,2.77102178493784,NA,-0.0655015487564323,NA,0.746697013955579,"zooxanthellate",2.30102999566398,"Acropora","horrida","Acropora","horrida"
"67",67,67,"Acropora humilis","Acroporidae",NA,NA,NA,"colonial",0.255272505103306,NA,"digitate",1.16111833595509,"pacific",2.70500795933334,1.08278537031645,1.73319726510657,2.77102178493784,NA,0.15998342779369,NA,0.322219294733919,"zooxanthellate",NA,"Acropora","humilis","Acropora","humilis"
"68",68,68,"Acropora hyacinthus","Acroporidae",0.602059991327962,-1.09691001300806,NA,"colonial",0.0413926851582251,NA,"tables_or_plates",1.67699827079618,"pacific",2.68484536164441,0.89740713966158,1.98272338766855,2.77102178493784,NA,0.107209969647868,NA,-0.143075243189986,"zooxanthellate",2.47712125471966,"Acropora","hyacinthus","Acropora","hyacinthus"
"69",69,69,"Acropora indonesia","Acroporidae",NA,NA,NA,"colonial",0,NA,"branching_open",1.73351658781825,"pacific",2.55133957695099,0.844786802159205,1.77421763656691,2.77102178493784,NA,0.179149040683456,NA,0.363011340173359,"zooxanthellate",2,"Acropora","indonesia","Acropora","indonesia"
"70",70,70,"Acropora inermis","Acroporidae",0.600895037705415,NA,NA,"colonial",0.146128035678238,NA,"branching_closed",1.70390740347512,"pacific",2.55411434525139,1.05243419516725,1.43337864591945,2.77102178493784,NA,-0.0155513927916768,NA,0.71009178021141,"zooxanthellate",NA,"Acropora","inermis","Acropora","inermis"
"71",71,71,"Acropora insignis","Acroporidae",0.600895037705415,NA,NA,"colonial",-0.221848749616356,NA,"branching_closed",1.70390740347512,"pacific",2.5471269775339,0.529540557411443,1.99814739951714,2.77102178493784,NA,-0.0155513927916768,NA,0.260544811634018,"zooxanthellate",NA,"Acropora","insignis","Acropora","insignis"
"72",72,72,"Acropora intermedia","Acroporidae",NA,NA,NA,"colonial",0.176091259055681,NA,"branching_open",1.73351658781825,"pacific",2.6232492903979,0.828843958619831,1.50395373712906,2.77102178493784,NA,0.179149040683456,NA,0.57813711675756,"zooxanthellate",2.69897000433602,"Acropora","intermedia","Acropora","intermedia"
"73",73,73,"Acropora irregularis","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"branching_open",1.73351658781825,"pacific",2.54949939049507,0.707078035569005,1.92295459347543,2.77102178493784,NA,0.179149040683456,NA,0.24461908198324,"zooxanthellate",2.47712125471966,"Acropora","irregularis","Acropora","irregularis"
"74",74,74,"Acropora jacquelineae","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.301029995663981,NA,"tables_or_plates",1.48303340020156,"pacific",2.5456234357221,0.417024302466899,2.41887925867423,2.77102178493784,NA,0.145537485080665,NA,-0.561403475533582,"zooxanthellate",2,"Acropora","jacquelineae","Acropora","jacquelineae"
"75",75,75,"Acropora japonica","Acroporidae",0.601482563537136,NA,NA,"colonial",-0.0457574905606751,NA,"tables_or_plates",1.48303340020156,"pacific",2.55047070580163,0.779765578946187,2.02708841670703,2.77102178493784,NA,0.145537485080665,NA,-0.249544180555297,"zooxanthellate",NA,"Acropora","japonica","Acropora","japonica"
"76",76,76,"Acropora khayranensis","Acroporidae",0.601482563537136,NA,NA,NA,0.0415838428658523,NA,"tables_or_plates",1.48303340020156,"pacific",2.5521291963314,0.903877287583669,1.89303741678493,2.77102178493784,NA,0.145537485080665,NA,-0.142841711153678,"zooxanthellate",NA,"Acropora","khayranensis","Acropora","khayranensis"
"77",77,77,"Acropora kimbeensis","Acroporidae",0.600895037705415,NA,NA,"colonial",-0.221848749616356,NA,"branching_closed",1.70390740347512,"pacific",2.5471269775339,0.529540557411443,1.99814739951714,2.77102178493784,NA,-0.0155513927916768,NA,0.260544811634018,"zooxanthellate",NA,"Acropora","kimbeensis","Acropora","kimbeensis"
"78",78,78,"Acropora kirstyae","Acroporidae",0.600895037705415,NA,NA,"colonial",-0.0969100130080564,NA,"branching_closed",1.70390740347512,"pacific",2.54949939049507,0.707078035569005,1.80639211122131,2.77102178493784,NA,-0.0155513927916768,NA,0.413178979181259,"zooxanthellate",NA,"Acropora","kirstyae","Acropora","kirstyae"
"79",79,79,"Acropora kosurini","Acroporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"branching_open",1.73351658781825,"pacific",2.51498485529367,0.919078092376074,1.92295459347543,2.77102178493784,NA,0.179149040683456,NA,0.24461908198324,"zooxanthellate",NA,"Acropora","kosurini","Acropora","kosurini"
"80",80,80,"Acropora lamarcki","Acroporidae",0.601409382532081,NA,NA,"colonial",-0.0969100130080564,NA,"tables_or_plates",1.51054501020661,"pacific",2.54949939049507,0.707078035569005,2.10559702784905,2.77102178493784,NA,0.14921911265538,NA,-0.312035789592257,"zooxanthellate",2.30102999566398,"Acropora","lamarcki","Acropora","lamarcki"
"81",81,81,"Acropora latistella","Acroporidae",0.539596477563643,NA,NA,"colonial",-0.0457574905606751,NA,"corymbose",1.53089221776038,"pacific",2.55561166917882,0.7481880270062,2.27664033585055,2.77102178493784,NA,0.161109647366959,NA,NA,"zooxanthellate",NA,"Acropora","latistella","Acropora","latistella"
"82",82,82,"Acropora lianae","Acroporidae",0.600895037705415,NA,NA,"colonial",-0.221848749616356,NA,"branching_closed",1.70390740347512,"pacific",2.5471269775339,0.529540557411443,1.99814739951714,2.77102178493784,NA,-0.0155513927916768,NA,0.260544811634018,"zooxanthellate",1.69897000433602,"Acropora","lianae","Acropora","lianae"
"83",83,83,"Acropora listeri","Acroporidae",0.600895037705415,NA,NA,"colonial",0,NA,"branching_closed",1.70390740347512,"pacific",2.55133957695099,0.844786802159205,1.65765515431279,2.77102178493784,NA,-0.0155513927916768,NA,0.531571237371378,"zooxanthellate",1.69897000433602,"Acropora","listeri","Acropora","listeri"
"84",84,84,"Acropora loisetteae","Acroporidae",NA,NA,NA,"colonial",0.204119982655925,NA,"branching_open",1.73351658781825,"pacific",2.55521553172396,1.13484053526131,1.46093540574173,2.77102178493784,NA,0.179149040683456,NA,0.612379026114684,"zooxanthellate",NA,"Acropora","loisetteae","Acropora","loisetteae"
"85",85,85,"Acropora lokani","Acroporidae",0.600895037705415,NA,NA,"colonial",-0.0457574905606751,NA,"branching_closed",1.70390740347512,"pacific",2.55047070580163,0.779765578946187,1.72788350007928,2.77102178493784,NA,-0.0155513927916768,NA,0.475670588218219,"zooxanthellate",1.47712125471966,"Acropora","lokani","Acropora","lokani"
